紅面番,ang5-bin7-hoan
紅帽,ang5-bo7
紅帽珠,ang5-bo7-chu
紅帽纓,ang5-bo7-eng
紅鬃魚,ang5-chang-hi5
紅糟,ang5-chau
紅種,ang5-cheng2
紅指甲,ang5-cheng2-kah
紅指甲花,ang5-cheng2-kah-hoe
紅柴,ang5-chha5
紅柴心,ang5-chha5-sim
紅彩,ang5-chhai2
紅菜,ang5-chhai3
紅菜頭,ang5-chhai3-thau5
紅田嬰,ang5-chhan5-iⁿ
紅田烏,ang5-chhan5-o͘
紅田烏草,ang5-chhan5-o͘-chhau2
紅松柏,ang5-chheng5-peh
紅刺蔥,ang5-chhi3-chhang
紅chhiau5,ang5-chhiau5
紅鬚,ang5-chhiu
紅樹,ang5-chhiu7
紅樹梅,ang5-chhiu7-m5
紅鬚哥,ang5-chhiu-ko
紅相,ang5-chhiuⁿ7
紅娶烏,ang5-chhoa7-o͘
紅蛆,ang5-chhu
紅嘴仔,ang5-chhui3-a2
紅嘴烏秋,ang5-chhui3 o͘-chhiu
紅子仔,ang5-chi2-a2
紅紫薇,ang5-chi2-bi5
紅紫蘇,ang5-chi2-so͘
紅蔗,ang5-chia3
紅淨,ang5-chiaⁿ7
紅蟳,ang5-chim5
紅蕉,ang5-chio
紅石仔,ang5-chioh8-a2
紅石花,ang5-chioh8-hoe
紅帥,ang5-chiong3
紅酒,ang5-chiu2
紅章,ang5-chiuⁿ
紅棗,ang5-cho2
紅紙,ang5-choa2
紅紙帖,ang5-choa2-thiap
紅蛇赤鼠,ang5-choa5 chhiah-chhu2
紅珠,ang5-chu
紅珠仔,ang5-chu-a2
紅珠木,ang5-chu-bok
紅朱朱,ang5-chu-chu
紅珠螺,ang5-chu-le5
紅萵,ang5-e
紅萵,ang5-oe
紅萵,ang5-er
紅霓,ang5-ge5
紅月,ang5-geh8
紅玉,ang5-gek8
紅玉簪,ang5-gek8-chiam
紅玉蘭,ang5-giok8-lan5
紅銀朱,ang5-gun5-chu
紅銀朱筆,ang5-gun5-chu-pit
紅銀朱盤,ang5-gun5-chu-poaⁿ5
紅銀朱條,ang5-gun5-chu-tiau5
紅海菜,ang5-hai2-chhai3
紅孩兒,ang5-hai5-ji5
紅ham2-ham2,ang5-ham2-ham2
紅蕃薯,ang5-han-chu5
紅蕃薯,ang5-hoan-chu5
紅蕃薯,ang5-han-chi5
紅合花,ang5-hap8-hoe
紅蝦,ang5-he5
紅霞,ang5-he5
紅霞霞,ang5-he5-he5
紅胸鳥,ang5-heng-chiau2
紅魚,ang5-hi5
紅魚仔,ang5-hi5-a2
紅耳仔蜜,ang5-hi7-a2-bit8
紅耳仔厝,ang5-hi7-a2-chhu3
紅蟻,ang5-hia7
紅瓦,ang5-hia7
紅熊,ang5-him5
紅葉,ang5-hioh8
紅化官,ang5-hoa3-koaⁿ
紅幻,ang5-hoaⁿ2
紅礬,ang5-hoan5
紅花,ang5-hoe
紅火,ang5-hoe2
紅花米,ang5-hoe-bi2
紅花蜜菜,ang5-hoe-bit8-chhai3
紅花魚,ang5-hoe-hi5
紅花膏,ang5-hoe-ko
紅花點,ang5-hoe-tiam2
紅鶴,ang5-hoh8
紅鳳菜,ang5-hong7-chhai3
紅鳳仙,ang5-hong7-sian
紅雨,ang5-ho͘7
紅雲,ang5-hun5
紅薏仔,ang5-i3-a2
紅豔,ang5-iam7
紅纓,ang5-iaⁿ
紅纓帽,ang5-iaⁿ-bo7
紅圓,ang5-iⁿ5
紅嬰仔,ang5-iⁿ-a2
紅帥,ang5-io
紅柚,ang5-iu7
紅楊,ang5-iuⁿ5
紅字,ang5-ji7
紅熱病,ang5-jiat8-peⁿ7
